Some weights of the model checkpoint at ../model/mengzi-bert-base-fin were not used when initializing BertForTokenClassification: ['sop.cls.bias', 'cls.predictions.transform.dense.bias', 'cls.predictions.decoder.weight', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.decoder.bias', 'cls.predictions.bias', 'pos_transform.dense.bias', 'pos_transform.LayerNorm.bias', 'pos_head.weight', 'sop.cls.weight', 'cls.predictions.transform.LayerNorm.weight', 'pos_transform.dense.weight', 'cls.predictions.transform.dense.weight', 'pos_head.bias', 'pos_transform.LayerNorm.weight']
- This IS expected if you are initializing BertForTokenClassification from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertForTokenClassification from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of BertForTokenClassification were not initialized from the model checkpoint at ../model/mengzi-bert-base-fin and are newly initialized: ['classifier.bias', 'classifier.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
/home/asus/miniconda3/envs/intelligent-test/lib/python3.9/site-packages/transformers/optimization.py:391: FutureWarning: This implementation of AdamW is deprecated and will be removed in a future version. Use the PyTorch implementation torch.optim.AdamW instead, or set `no_deprecation_warning=True` to disable this warning
  warnings.warn(
{'eval_loss': 4.313064098358154, 'eval_runtime': 0.3379, 'eval_samples_per_second': 115.431, 'eval_steps_per_second': 14.799, 'epoch': 1.0}
{'eval_loss': 0.15593436360359192, 'eval_runtime': 0.3245, 'eval_samples_per_second': 120.186, 'eval_steps_per_second': 15.408, 'epoch': 35.0}
{'eval_loss': 0.14895395934581757, 'eval_runtime': 0.3214, 'eval_samples_per_second': 121.356, 'eval_steps_per_second': 15.558, 'epoch': 36.0}
{'eval_loss': 0.14235493540763855, 'eval_runtime': 0.3272, 'eval_samples_per_second': 119.19, 'eval_steps_per_second': 15.281, 'epoch': 37.0}
{'eval_loss': 0.13579760491847992, 'eval_runtime': 0.3269, 'eval_samples_per_second': 119.305, 'eval_steps_per_second': 15.295, 'epoch': 38.0}
{'eval_loss': 0.12985344231128693, 'eval_runtime': 0.3228, 'eval_samples_per_second': 120.8, 'eval_steps_per_second': 15.487, 'epoch': 39.0}
{'loss': 0.2259, 'learning_rate': 1e-05, 'epoch': 40.0}
{'eval_loss': 0.12403830140829086, 'eval_runtime': 0.3217, 'eval_samples_per_second': 121.24, 'eval_steps_per_second': 15.544, 'epoch': 40.0}
{'eval_loss': 0.11933832615613937, 'eval_runtime': 0.3256, 'eval_samples_per_second': 119.782, 'eval_steps_per_second': 15.357, 'epoch': 41.0}
{'eval_loss': 0.11505193263292313, 'eval_runtime': 0.3271, 'eval_samples_per_second': 119.229, 'eval_steps_per_second': 15.286, 'epoch': 42.0}
{'eval_loss': 0.11036394536495209, 'eval_runtime': 0.3231, 'eval_samples_per_second': 120.703, 'eval_steps_per_second': 15.475, 'epoch': 43.0}
{'eval_loss': 0.1064785048365593, 'eval_runtime': 0.3308, 'eval_samples_per_second': 117.885, 'eval_steps_per_second': 15.113, 'epoch': 44.0}
{'eval_loss': 0.10267981141805649, 'eval_runtime': 0.3233, 'eval_samples_per_second': 120.647, 'eval_steps_per_second': 15.468, 'epoch': 45.0}
{'eval_loss': 0.10020209848880768, 'eval_runtime': 0.3252, 'eval_samples_per_second': 119.917, 'eval_steps_per_second': 15.374, 'epoch': 46.0}
{'eval_loss': 0.09529367834329605, 'eval_runtime': 0.3274, 'eval_samples_per_second': 119.115, 'eval_steps_per_second': 15.271, 'epoch': 47.0}
{'eval_loss': 0.09202985465526581, 'eval_runtime': 0.3243, 'eval_samples_per_second': 120.245, 'eval_steps_per_second': 15.416, 'epoch': 48.0}
{'eval_loss': 0.08882460743188858, 'eval_runtime': 0.3268, 'eval_samples_per_second': 119.343, 'eval_steps_per_second': 15.3, 'epoch': 49.0}
{'eval_loss': 0.08655291050672531, 'eval_runtime': 0.322, 'eval_samples_per_second': 121.109, 'eval_steps_per_second': 15.527, 'epoch': 50.0}
{'eval_loss': 0.08559133857488632, 'eval_runtime': 0.3241, 'eval_samples_per_second': 120.329, 'eval_steps_per_second': 15.427, 'epoch': 51.0}
{'eval_loss': 0.08024716377258301, 'eval_runtime': 0.3218, 'eval_samples_per_second': 121.195, 'eval_steps_per_second': 15.538, 'epoch': 52.0}
{'eval_loss': 0.07804460823535919, 'eval_runtime': 0.3213, 'eval_samples_per_second': 121.387, 'eval_steps_per_second': 15.562, 'epoch': 53.0}
{'eval_loss': 0.07668223977088928, 'eval_runtime': 0.3287, 'eval_samples_per_second': 118.633, 'eval_steps_per_second': 15.209, 'epoch': 54.0}
{'eval_loss': 0.0739411786198616, 'eval_runtime': 0.3243, 'eval_samples_per_second': 120.26, 'eval_steps_per_second': 15.418, 'epoch': 55.0}
{'eval_loss': 0.0715467631816864, 'eval_runtime': 0.3243, 'eval_samples_per_second': 120.274, 'eval_steps_per_second': 15.42, 'epoch': 56.0}
{'eval_loss': 0.07013561576604843, 'eval_runtime': 0.3268, 'eval_samples_per_second': 119.331, 'eval_steps_per_second': 15.299, 'epoch': 57.0}
{'eval_loss': 0.06677620857954025, 'eval_runtime': 0.331, 'eval_samples_per_second': 117.819, 'eval_steps_per_second': 15.105, 'epoch': 58.0}
{'eval_loss': 0.06547695398330688, 'eval_runtime': 0.3245, 'eval_samples_per_second': 120.199, 'eval_steps_per_second': 15.41, 'epoch': 59.0}
{'loss': 0.1096, 'learning_rate': 1e-05, 'epoch': 60.0}
{'eval_loss': 0.06348788738250732, 'eval_runtime': 0.3278, 'eval_samples_per_second': 118.987, 'eval_steps_per_second': 15.255, 'epoch': 60.0}
{'eval_loss': 0.06255021691322327, 'eval_runtime': 0.3225, 'eval_samples_per_second': 120.914, 'eval_steps_per_second': 15.502, 'epoch': 61.0}
{'eval_loss': 0.06101550906896591, 'eval_runtime': 0.3222, 'eval_samples_per_second': 121.036, 'eval_steps_per_second': 15.517, 'epoch': 62.0}
{'eval_loss': 0.05931742861866951, 'eval_runtime': 0.3234, 'eval_samples_per_second': 120.598, 'eval_steps_per_second': 15.461, 'epoch': 63.0}
{'eval_loss': 0.057739220559597015, 'eval_runtime': 0.322, 'eval_samples_per_second': 121.133, 'eval_steps_per_second': 15.53, 'epoch': 64.0}
{'eval_loss': 0.05594787374138832, 'eval_runtime': 0.3248, 'eval_samples_per_second': 120.086, 'eval_steps_per_second': 15.396, 'epoch': 65.0}
{'eval_loss': 0.054275330156087875, 'eval_runtime': 0.3245, 'eval_samples_per_second': 120.188, 'eval_steps_per_second': 15.409, 'epoch': 66.0}
{'eval_loss': 0.05358322337269783, 'eval_runtime': 0.3233, 'eval_samples_per_second': 120.616, 'eval_steps_per_second': 15.464, 'epoch': 67.0}
{'eval_loss': 0.05170193687081337, 'eval_runtime': 0.325, 'eval_samples_per_second': 120.002, 'eval_steps_per_second': 15.385, 'epoch': 68.0}
{'eval_loss': 0.050788648426532745, 'eval_runtime': 0.3304, 'eval_samples_per_second': 118.052, 'eval_steps_per_second': 15.135, 'epoch': 69.0}
{'eval_loss': 0.05057504400610924, 'eval_runtime': 0.3217, 'eval_samples_per_second': 121.247, 'eval_steps_per_second': 15.544, 'epoch': 70.0}
{'eval_loss': 0.04880702123045921, 'eval_runtime': 0.3225, 'eval_samples_per_second': 120.945, 'eval_steps_per_second': 15.506, 'epoch': 71.0}
{'eval_loss': 0.0476294606924057, 'eval_runtime': 0.3234, 'eval_samples_per_second': 120.575, 'eval_steps_per_second': 15.458, 'epoch': 72.0}
{'eval_loss': 0.04687914997339249, 'eval_runtime': 0.3221, 'eval_samples_per_second': 121.064, 'eval_steps_per_second': 15.521, 'epoch': 73.0}
{'eval_loss': 0.047289758920669556, 'eval_runtime': 0.3258, 'eval_samples_per_second': 119.689, 'eval_steps_per_second': 15.345, 'epoch': 74.0}
{'eval_loss': 0.045138027518987656, 'eval_runtime': 0.3261, 'eval_samples_per_second': 119.589, 'eval_steps_per_second': 15.332, 'epoch': 75.0}
{'eval_loss': 0.043477799743413925, 'eval_runtime': 0.325, 'eval_samples_per_second': 120.004, 'eval_steps_per_second': 15.385, 'epoch': 76.0}
{'eval_loss': 0.04255475476384163, 'eval_runtime': 0.3233, 'eval_samples_per_second': 120.635, 'eval_steps_per_second': 15.466, 'epoch': 77.0}
{'eval_loss': 0.04177742451429367, 'eval_runtime': 0.3242, 'eval_samples_per_second': 120.305, 'eval_steps_per_second': 15.424, 'epoch': 78.0}
{'eval_loss': 0.04111281409859657, 'eval_runtime': 0.3252, 'eval_samples_per_second': 119.925, 'eval_steps_per_second': 15.375, 'epoch': 79.0}
{'loss': 0.0658, 'learning_rate': 1e-05, 'epoch': 80.0}
{'eval_loss': 0.040225181728601456, 'eval_runtime': 0.325, 'eval_samples_per_second': 119.987, 'eval_steps_per_second': 15.383, 'epoch': 80.0}
{'eval_loss': 0.0396602526307106, 'eval_runtime': 0.3226, 'eval_samples_per_second': 120.903, 'eval_steps_per_second': 15.5, 'epoch': 81.0}
{'eval_loss': 0.038872506469488144, 'eval_runtime': 0.3213, 'eval_samples_per_second': 121.396, 'eval_steps_per_second': 15.564, 'epoch': 82.0}
{'eval_loss': 0.037980031222105026, 'eval_runtime': 0.3258, 'eval_samples_per_second': 119.709, 'eval_steps_per_second': 15.347, 'epoch': 83.0}
{'eval_loss': 0.03721760958433151, 'eval_runtime': 0.3235, 'eval_samples_per_second': 120.546, 'eval_steps_per_second': 15.455, 'epoch': 84.0}
{'eval_loss': 0.03688551485538483, 'eval_runtime': 0.3228, 'eval_samples_per_second': 120.825, 'eval_steps_per_second': 15.49, 'epoch': 85.0}
{'eval_loss': 0.036232296377420425, 'eval_runtime': 0.3275, 'eval_samples_per_second': 119.094, 'eval_steps_per_second': 15.268, 'epoch': 86.0}
{'eval_loss': 0.03548170626163483, 'eval_runtime': 0.3231, 'eval_samples_per_second': 120.704, 'eval_steps_per_second': 15.475, 'epoch': 87.0}
{'eval_loss': 0.03487185761332512, 'eval_runtime': 0.323, 'eval_samples_per_second': 120.73, 'eval_steps_per_second': 15.478, 'epoch': 88.0}
{'eval_loss': 0.034471962600946426, 'eval_runtime': 0.3233, 'eval_samples_per_second': 120.646, 'eval_steps_per_second': 15.467, 'epoch': 89.0}
{'eval_loss': 0.033826034516096115, 'eval_runtime': 0.3251, 'eval_samples_per_second': 119.981, 'eval_steps_per_second': 15.382, 'epoch': 90.0}
{'eval_loss': 0.03301990404725075, 'eval_runtime': 0.3247, 'eval_samples_per_second': 120.124, 'eval_steps_per_second': 15.4, 'epoch': 91.0}
{'eval_loss': 0.03293415904045105, 'eval_runtime': 0.3251, 'eval_samples_per_second': 119.966, 'eval_steps_per_second': 15.38, 'epoch': 92.0}
{'eval_loss': 0.032247330993413925, 'eval_runtime': 0.3243, 'eval_samples_per_second': 120.254, 'eval_steps_per_second': 15.417, 'epoch': 93.0}
{'eval_loss': 0.032265208661556244, 'eval_runtime': 0.3244, 'eval_samples_per_second': 120.239, 'eval_steps_per_second': 15.415, 'epoch': 94.0}
{'eval_loss': 0.03132553771138191, 'eval_runtime': 0.3222, 'eval_samples_per_second': 121.042, 'eval_steps_per_second': 15.518, 'epoch': 95.0}
{'eval_loss': 0.030248994007706642, 'eval_runtime': 0.3236, 'eval_samples_per_second': 120.508, 'eval_steps_per_second': 15.45, 'epoch': 96.0}
{'eval_loss': 0.030060740187764168, 'eval_runtime': 0.3246, 'eval_samples_per_second': 120.159, 'eval_steps_per_second': 15.405, 'epoch': 97.0}
{'eval_loss': 0.0298461951315403, 'eval_runtime': 0.3237, 'eval_samples_per_second': 120.463, 'eval_steps_per_second': 15.444, 'epoch': 98.0}
{'eval_loss': 0.029272789135575294, 'eval_runtime': 0.3297, 'eval_samples_per_second': 118.307, 'eval_steps_per_second': 15.168, 'epoch': 99.0}
{'loss': 0.0454, 'learning_rate': 1e-05, 'epoch': 100.0}
{'eval_loss': 0.028588470071554184, 'eval_runtime': 0.3263, 'eval_samples_per_second': 119.524, 'eval_steps_per_second': 15.324, 'epoch': 100.0}
{'train_runtime': 216.3532, 'train_samples_per_second': 18.026, 'train_steps_per_second': 2.311, 'train_loss': 0.3200053548812866, 'epoch': 100.0}
Some weights of the model checkpoint at ../model/mengzi-bert-base-fin were not used when initializing BertForTokenClassification: ['sop.cls.weight', 'cls.predictions.bias', 'pos_transform.dense.weight', 'pos_transform.LayerNorm.bias', 'pos_transform.dense.bias', 'cls.predictions.decoder.bias', 'cls.predictions.transform.LayerNorm.bias', 'pos_transform.LayerNorm.weight', 'pos_head.bias', 'cls.predictions.transform.dense.weight', 'cls.predictions.transform.dense.bias', 'cls.predictions.decoder.weight', 'pos_head.weight', 'sop.cls.bias', 'cls.predictions.transform.LayerNorm.weight']
- This IS expected if you are initializing BertForTokenClassification from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertForTokenClassification from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of BertForTokenClassification were not initialized from the model checkpoint at ../model/mengzi-bert-base-fin and are newly initialized: ['classifier.bias', 'classifier.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
/home/asus/miniconda3/envs/intelligent-test/lib/python3.9/site-packages/transformers/optimization.py:391: FutureWarning: This implementation of AdamW is deprecated and will be removed in a future version. Use the PyTorch implementation torch.optim.AdamW instead, or set `no_deprecation_warning=True` to disable this warning
  warnings.warn(
{'eval_loss': 4.362911701202393, 'eval_runtime': 0.3298, 'eval_samples_per_second': 118.271, 'eval_steps_per_second': 15.163, 'epoch': 1.0}
{'eval_loss': 3.5495076179504395, 'eval_runtime': 0.3286, 'eval_samples_per_second': 118.675, 'eval_steps_per_second': 15.215, 'epoch': 2.0}
{'eval_loss': 2.462506055831909, 'eval_runtime': 0.3266, 'eval_samples_per_second': 119.43, 'eval_steps_per_second': 15.312, 'epoch': 3.0}
{'eval_loss': 1.4389111995697021, 'eval_runtime': 0.3286, 'eval_samples_per_second': 118.691, 'eval_steps_per_second': 15.217, 'epoch': 4.0}
{'eval_loss': 0.8648546934127808, 'eval_runtime': 0.3412, 'eval_samples_per_second': 114.309, 'eval_steps_per_second': 14.655, 'epoch': 5.0}
{'eval_loss': 0.581456184387207, 'eval_runtime': 0.3273, 'eval_samples_per_second': 119.143, 'eval_steps_per_second': 15.275, 'epoch': 6.0}
{'eval_loss': 0.46565940976142883, 'eval_runtime': 0.3265, 'eval_samples_per_second': 119.458, 'eval_steps_per_second': 15.315, 'epoch': 7.0}
{'eval_loss': 0.41358453035354614, 'eval_runtime': 0.3365, 'eval_samples_per_second': 115.9, 'eval_steps_per_second': 14.859, 'epoch': 8.0}
{'eval_loss': 0.38149961829185486, 'eval_runtime': 0.3264, 'eval_samples_per_second': 119.483, 'eval_steps_per_second': 15.318, 'epoch': 9.0}
{'eval_loss': 0.35862016677856445, 'eval_runtime': 0.3267, 'eval_samples_per_second': 119.371, 'eval_steps_per_second': 15.304, 'epoch': 10.0}
{'eval_loss': 0.341343492269516, 'eval_runtime': 0.3274, 'eval_samples_per_second': 119.133, 'eval_steps_per_second': 15.273, 'epoch': 11.0}
{'eval_loss': 0.3275371789932251, 'eval_runtime': 0.3246, 'eval_samples_per_second': 120.148, 'eval_steps_per_second': 15.404, 'epoch': 12.0}
{'eval_loss': 0.3181970715522766, 'eval_runtime': 0.3254, 'eval_samples_per_second': 119.84, 'eval_steps_per_second': 15.364, 'epoch': 13.0}
{'eval_loss': 0.30706971883773804, 'eval_runtime': 0.3335, 'eval_samples_per_second': 116.947, 'eval_steps_per_second': 14.993, 'epoch': 14.0}
{'eval_loss': 0.2985817790031433, 'eval_runtime': 0.3266, 'eval_samples_per_second': 119.403, 'eval_steps_per_second': 15.308, 'epoch': 15.0}
{'eval_loss': 0.2898143231868744, 'eval_runtime': 0.3282, 'eval_samples_per_second': 118.839, 'eval_steps_per_second': 15.236, 'epoch': 16.0}
{'eval_loss': 0.2817413806915283, 'eval_runtime': 0.3271, 'eval_samples_per_second': 119.247, 'eval_steps_per_second': 15.288, 'epoch': 17.0}
{'eval_loss': 0.2721624970436096, 'eval_runtime': 0.3277, 'eval_samples_per_second': 119.024, 'eval_steps_per_second': 15.26, 'epoch': 18.0}
{'eval_loss': 0.2629379332065582, 'eval_runtime': 0.3263, 'eval_samples_per_second': 119.53, 'eval_steps_per_second': 15.324, 'epoch': 19.0}
{'loss': 1.0842, 'learning_rate': 8.000000000000001e-06, 'epoch': 20.0}
{'eval_loss': 0.25238293409347534, 'eval_runtime': 0.3274, 'eval_samples_per_second': 119.131, 'eval_steps_per_second': 15.273, 'epoch': 20.0}
{'eval_loss': 0.24194476008415222, 'eval_runtime': 0.3256, 'eval_samples_per_second': 119.795, 'eval_steps_per_second': 15.358, 'epoch': 21.0}
{'eval_loss': 0.23229236900806427, 'eval_runtime': 0.3255, 'eval_samples_per_second': 119.809, 'eval_steps_per_second': 15.36, 'epoch': 22.0}
{'eval_loss': 0.22405438125133514, 'eval_runtime': 0.3277, 'eval_samples_per_second': 119.011, 'eval_steps_per_second': 15.258, 'epoch': 23.0}
{'eval_loss': 0.21633678674697876, 'eval_runtime': 0.3277, 'eval_samples_per_second': 118.999, 'eval_steps_per_second': 15.256, 'epoch': 24.0}
{'eval_loss': 0.20925506949424744, 'eval_runtime': 0.3396, 'eval_samples_per_second': 114.85, 'eval_steps_per_second': 14.724, 'epoch': 25.0}
{'eval_loss': 0.20264708995819092, 'eval_runtime': 0.3331, 'eval_samples_per_second': 117.09, 'eval_steps_per_second': 15.012, 'epoch': 26.0}
{'eval_loss': 0.19588692486286163, 'eval_runtime': 0.3275, 'eval_samples_per_second': 119.072, 'eval_steps_per_second': 15.266, 'epoch': 27.0}
{'eval_loss': 0.189480260014534, 'eval_runtime': 0.3244, 'eval_samples_per_second': 120.207, 'eval_steps_per_second': 15.411, 'epoch': 28.0}
{'eval_loss': 0.18374262750148773, 'eval_runtime': 0.3265, 'eval_samples_per_second': 119.442, 'eval_steps_per_second': 15.313, 'epoch': 29.0}
{'eval_loss': 0.17759589850902557, 'eval_runtime': 0.3278, 'eval_samples_per_second': 118.97, 'eval_steps_per_second': 15.253, 'epoch': 30.0}
{'eval_loss': 0.17198260128498077, 'eval_runtime': 0.3402, 'eval_samples_per_second': 114.652, 'eval_steps_per_second': 14.699, 'epoch': 31.0}
{'eval_loss': 0.16665686666965485, 'eval_runtime': 0.3312, 'eval_samples_per_second': 117.77, 'eval_steps_per_second': 15.099, 'epoch': 32.0}
{'eval_loss': 0.16221588850021362, 'eval_runtime': 0.3277, 'eval_samples_per_second': 118.999, 'eval_steps_per_second': 15.256, 'epoch': 33.0}
{'eval_loss': 0.15650326013565063, 'eval_runtime': 0.3479, 'eval_samples_per_second': 112.094, 'eval_steps_per_second': 14.371, 'epoch': 34.0}
{'eval_loss': 0.15254990756511688, 'eval_runtime': 0.3306, 'eval_samples_per_second': 117.967, 'eval_steps_per_second': 15.124, 'epoch': 35.0}
{'eval_loss': 0.14797936379909515, 'eval_runtime': 0.3329, 'eval_samples_per_second': 117.142, 'eval_steps_per_second': 15.018, 'epoch': 36.0}
{'eval_loss': 0.14440131187438965, 'eval_runtime': 0.3398, 'eval_samples_per_second': 114.775, 'eval_steps_per_second': 14.715, 'epoch': 37.0}
{'eval_loss': 0.14059379696846008, 'eval_runtime': 0.3264, 'eval_samples_per_second': 119.49, 'eval_steps_per_second': 15.319, 'epoch': 38.0}
{'eval_loss': 0.13688090443611145, 'eval_runtime': 0.3268, 'eval_samples_per_second': 119.353, 'eval_steps_per_second': 15.302, 'epoch': 39.0}
{'loss': 0.2054, 'learning_rate': 6e-06, 'epoch': 40.0}
{'eval_loss': 0.13327741622924805, 'eval_runtime': 0.3277, 'eval_samples_per_second': 119.008, 'eval_steps_per_second': 15.257, 'epoch': 40.0}
{'eval_loss': 0.1299818754196167, 'eval_runtime': 0.3366, 'eval_samples_per_second': 115.879, 'eval_steps_per_second': 14.856, 'epoch': 41.0}
{'eval_loss': 0.12640480697155, 'eval_runtime': 0.3351, 'eval_samples_per_second': 116.384, 'eval_steps_per_second': 14.921, 'epoch': 42.0}
{'eval_loss': 0.12318208813667297, 'eval_runtime': 0.3271, 'eval_samples_per_second': 119.23, 'eval_steps_per_second': 15.286, 'epoch': 43.0}
{'eval_loss': 0.1205071434378624, 'eval_runtime': 0.3329, 'eval_samples_per_second': 117.135, 'eval_steps_per_second': 15.017, 'epoch': 44.0}
{'eval_loss': 0.11798848956823349, 'eval_runtime': 0.3266, 'eval_samples_per_second': 119.395, 'eval_steps_per_second': 15.307, 'epoch': 45.0}
{'eval_loss': 0.11547359824180603, 'eval_runtime': 0.3308, 'eval_samples_per_second': 117.891, 'eval_steps_per_second': 15.114, 'epoch': 46.0}
